,train_min,train_mean,train_max,train_std,test_min,test_mean,test_max,test_std
Geary,0.7586206896551724,0.8337264367816091,0.9540229885057471,0.02602079100018547,0.4482758620689655,0.7507551724137931,0.9655172413793104,0.07223516877262756
GTPC,0.8045977011494253,0.9074275862068966,0.9770114942528736,0.02673669352811764,0.4482758620689655,0.8019724137931035,1.0,0.07768536315187083
APAAC,0.6666666666666666,0.7798356321839081,0.9540229885057471,0.030817229160957,0.3103448275862069,0.6847758620689656,0.9655172413793104,0.08208401593379348
Moran,0.7586206896551724,0.8356885057471263,0.9655172413793104,0.026746847327994604,0.4482758620689655,0.7525034482758621,0.9655172413793104,0.07165056936527865
CKSAAGP,0.7701149425287356,0.8697494252873563,0.9885057471264368,0.04001437969829989,0.4482758620689655,0.7716586206896553,1.0,0.08677975449795491
GDPC,0.7011494252873564,0.7925287356321838,0.9080459770114943,0.02549419068636633,0.3793103448275862,0.665748275862069,0.9310344827586207,0.07979935532686112
CKSAAP,0.7701149425287356,0.8504862068965519,0.9770114942528736,0.0325785344613539,0.4482758620689655,0.752248275862069,1.0,0.07758275057435461
KSCTriad,0.7816091954022989,0.888219540229885,0.9885057471264368,0.03679062387735106,0.3448275862068966,0.7743655172413794,1.0,0.08922653796538865
PAAC,0.6666666666666666,0.764719540229885,0.9425287356321839,0.030293546969235478,0.3103448275862069,0.6785413793103447,0.9655172413793104,0.08164642536735786
AAC,0.6781609195402298,0.7783655172413793,0.9425287356321839,0.03235946200642032,0.3448275862068966,0.6867758620689656,0.9655172413793104,0.08008859355784519
CTDT,0.7471264367816092,0.8377528735632184,0.9655172413793104,0.028546410906407624,0.3793103448275862,0.7151103448275863,0.9655172413793104,0.07738641524945139
GAAC,0.5977011494252874,0.6915252873563218,0.7931034482758621,0.025670114479320598,0.27586206896551724,0.6409137931034483,0.9310344827586207,0.0771067002429383
DPC,0.7586206896551724,0.8517620689655172,0.9770114942528736,0.03371605319964183,0.3448275862068966,0.7483586206896551,1.0,0.0792971071411262
NMBroto,0.7471264367816092,0.8252011494252872,0.9310344827586207,0.02282483040049733,0.41379310344827586,0.7459689655172413,0.9655172413793104,0.07390649031272441
CTDC,0.6666666666666666,0.7521586206896552,0.9195402298850575,0.02842715147430923,0.3448275862068966,0.6810310344827586,0.9310344827586207,0.08073790180056789
CTriad,0.7816091954022989,0.888219540229885,0.9885057471264368,0.03679062387735106,0.3448275862068966,0.7743655172413794,1.0,0.08922653796538865
DDE,0.8045977011494253,0.9155402298850575,0.9885057471264368,0.02779731483642271,0.3448275862068966,0.8171758620689655,1.0,0.08079389369269288
SOCNumber,0.7586206896551724,0.8447425287356322,0.9425287356321839,0.029396864056047987,0.41379310344827586,0.7576379310344827,1.0,0.07785690516153174
QSOrder,0.7011494252873564,0.7922229885057471,0.9770114942528736,0.03207191606745398,0.3793103448275862,0.6977517241379312,0.9655172413793104,0.0799514490011536
CTDD,0.6666666666666666,0.789987356321839,0.9080459770114943,0.02699903060457912,0.3103448275862069,0.6877931034482759,0.9655172413793104,0.08046006239684186
TPC,0.7701149425287356,0.8757045977011494,0.9770114942528736,0.03512729490963004,0.4482758620689655,0.7684206896551724,1.0,0.08116885674683723
