feat_name,regC,kernel,pca_comp
aadp_pssm,30,rbf,75
dp_pssm,1,rbf,40
aatp,30,rbf,40
rpm_pssm,20,rbf,55
s_fpssm,20,rbf,75
medp,1,rbf,40
ab_pssm,20,rbf,40
eedp,1,rbf,40
pse_pssm,20,rbf,20
aac_pssm,20,rbf,15
pssm_ac,20,rbf,40
d_fpssm,20,rbf,10
k_separated_bigrams_pssm,20,rbf,40
pssm_cc,20,rbf,55
edp,20,rbf,10
tpc,30,rbf,40
smoothed_pssm,1,rbf,40
pssm_composition,20,rbf,40
dpc_pssm,30,rbf,75
tri_gram_pssm,20,linear,40
rpssm,1,rbf,40
mismatchKernel,20,rbf,55
spectrumKernel,20,linear,55
gappyKernel,20,linear,55
APAAC,30,rbf,40
GTPC,20,rbf,40
Moran,20,rbf,55
DPC,20,rbf,55
KSCTriad,20,rbf,55
QSOrder,30,rbf,40
CTDT,20,rbf,29
AAC,30,rbf,15
Geary,20,rbf,55
CKSAAGP,20,rbf,40
DDE,20,rbf,55
CTDD,20,rbf,40
PAAC,30,rbf,25
CTDC,20,rbf,19
NMBroto,20,rbf,55
CTriad,20,rbf,55
SOCNumber,30,rbf,30
TPC,20,rbf,55
CKSAAP,20,rbf,55
GAAC,1,rbf,2
GDPC,30,rbf,18
