,train_min,train_mean,train_max,train_std,test_min,test_mean,test_max,test_std
rpssm,0.7558139534883721,0.8351860465116279,0.9069767441860465,0.02347490979621664,0.3793103448275862,0.6091379310344828,0.8620689655172413,0.08210065311177074
pse_pssm,0.9883720930232558,0.9998372093023257,1.0,0.0013661677342069341,0.3103448275862069,0.5882413793103449,0.8620689655172413,0.07885566067173756
aac_pssm,0.7906976744186046,0.8565232558139535,0.9186046511627907,0.02221532549520175,0.3103448275862069,0.6425172413793103,0.9310344827586207,0.08343339137701782
pssm_cc,0.813953488372093,0.8748953488372092,0.9418604651162791,0.021399516151280707,0.3103448275862069,0.634,0.896551724137931,0.08191382032094424
ab_pssm,0.7790697674418605,0.8607906976744186,0.9418604651162791,0.026081828216503483,0.3793103448275862,0.5898965517241379,0.7931034482758621,0.0792019574218531
dpc_pssm,0.8255813953488372,0.8864767441860465,0.9767441860465116,0.024058336236227582,0.3793103448275862,0.6244827586206897,0.8620689655172413,0.08151289445204396
aadp_pssm,0.8255813953488372,0.8863604651162791,0.9767441860465116,0.02411065788584957,0.3793103448275862,0.6244482758620691,0.8620689655172413,0.08174027921493511
tri_gram_pssm,0.8255813953488372,0.8822209302325582,0.9418604651162791,0.021736284474045107,0.3448275862068966,0.5961034482758621,0.8275862068965517,0.07979336422929996
d_fpssm,0.8488372093023255,0.9036511627906978,0.9534883720930233,0.018836505872596745,0.3103448275862069,0.5936551724137932,0.8275862068965517,0.08164002655432398
pssm_composition,0.8837209302325582,0.9494767441860467,0.9883720930232558,0.015755599414998663,0.4827586206896552,0.7250344827586207,0.9310344827586207,0.07649674944327009
pssm_ac,0.8488372093023255,0.9063372093023256,0.9767441860465116,0.02237873698666755,0.3793103448275862,0.6301379310344828,0.896551724137931,0.08099356266899786
aatp,0.7209302325581395,0.830546511627907,0.9651162790697675,0.052129699246562376,0.41379310344827586,0.6342758620689656,0.8620689655172413,0.08212953429966968
edp,0.6511627906976745,0.7241395348837208,0.8023255813953488,0.02713023694377185,0.3793103448275862,0.6066896551724138,0.8620689655172413,0.078762455368933
s_fpssm,0.9069767441860465,0.956186046511628,1.0,0.013166652404188406,0.5172413793103449,0.7290689655172414,0.9310344827586207,0.07511031126617558
medp,0.7790697674418605,0.8587558139534884,0.9302325581395349,0.022358838480422416,0.3793103448275862,0.5913103448275863,0.8620689655172413,0.0803240760533035
smoothed_pssm,0.7325581395348837,0.8048488372093022,0.872093023255814,0.022654764887171597,0.3103448275862069,0.5425517241379311,0.7931034482758621,0.07602837570282237
rpm_pssm,0.9069767441860465,0.9535348837209304,0.9883720930232558,0.013836642552395764,0.4827586206896552,0.733103448275862,0.9310344827586207,0.07537776444135219
eedp,0.7906976744186046,0.8606395348837209,0.9302325581395349,0.02203411669524674,0.3793103448275862,0.5914827586206898,0.8620689655172413,0.07969614560477085
dp_pssm,0.9883720930232558,0.9999767441860465,1.0,0.0005194955326439236,0.3448275862068966,0.6266551724137931,0.9310344827586207,0.08096527492180151
tpc,0.5581395348837209,0.7355,1.0,0.15567895531566683,0.3103448275862069,0.5937586206896551,0.8275862068965517,0.0851594224351522
k_separated_bigrams_pssm,0.8255813953488372,0.8884418604651164,0.9418604651162791,0.02270023574949712,0.3793103448275862,0.6115862068965519,0.8620689655172413,0.07550310054976433
