,train_min,train_mean,train_max,train_std,test_min,test_mean,test_max,test_std
CTDC,0.8372093023255814,0.9172093023255816,0.9767441860465116,0.020111909728464526,0.41379310344827586,0.683448275862069,0.9655172413793104,0.08663068248970789
CTDD,0.8604651162790697,0.9064534883720932,0.9651162790697675,0.01900362536930393,0.41379310344827586,0.6481034482758621,0.896551724137931,0.07859478550868225
SOCNumber,0.8255813953488372,0.8907674418604652,0.9651162790697675,0.024320856404465276,0.4482758620689655,0.6955172413793104,0.9310344827586207,0.07853519247190578
APAAC,0.8488372093023255,0.9168023255813955,0.9651162790697675,0.018506189308601536,0.41379310344827586,0.675344827586207,0.896551724137931,0.08116845125534575
CTriad,0.8953488372093024,0.9351860465116281,0.9767441860465116,0.013741234484162245,0.4827586206896552,0.7628965517241381,0.9655172413793104,0.07567864973795009
TPC,0.9186046511627907,0.9569883720930233,0.9883720930232558,0.01351240341208014,0.5172413793103449,0.7759310344827586,0.9655172413793104,0.07352186696970539
CKSAAGP,0.9186046511627907,0.9515465116279072,0.9883720930232558,0.013232900432896611,0.4482758620689655,0.7469655172413793,0.9310344827586207,0.07756517722659201
QSOrder,0.8837209302325582,0.9247906976744188,0.9651162790697675,0.0168302696735679,0.41379310344827586,0.6961034482758621,0.9310344827586207,0.08024954391430658
KSCTriad,0.8953488372093024,0.9351860465116281,0.9767441860465116,0.013741234484162245,0.4827586206896552,0.7628965517241381,0.9655172413793104,0.07567864973795009
CKSAAP,0.9069767441860465,0.9470232558139537,0.9883720930232558,0.015699241954465044,0.4482758620689655,0.7706896551724137,0.9655172413793104,0.07143426170641802
NMBroto,0.872093023255814,0.9225813953488373,0.9883720930232558,0.018137432794121573,0.4827586206896552,0.7580689655172413,1.0,0.07777940696253423
GDPC,0.872093023255814,0.9416046511627909,0.9883720930232558,0.01690457741844062,0.3448275862068966,0.6637241379310345,0.9310344827586207,0.09072633321502897
GAAC,0.627906976744186,0.7069883720930232,0.813953488372093,0.029730625397614174,0.27586206896551724,0.5277931034482758,0.7586206896551724,0.08118008928642369
Geary,0.8837209302325582,0.9325116279069768,0.9883720930232558,0.01649189780915939,0.5172413793103449,0.7660689655172414,0.9655172413793104,0.07776105967579464
Moran,0.8953488372093024,0.9341744186046512,0.9883720930232558,0.016502122222862806,0.4827586206896552,0.7632068965517241,0.9655172413793104,0.07676044084962808
GTPC,0.9186046511627907,0.9557674418604654,0.9883720930232558,0.012575268249711034,0.4482758620689655,0.7423793103448275,0.9655172413793104,0.07737641367741899
DPC,0.9069767441860465,0.949779069767442,0.9883720930232558,0.01394980086933908,0.5172413793103449,0.7606896551724138,0.9655172413793104,0.07184009194690216
AAC,0.8604651162790697,0.9148837209302327,0.9651162790697675,0.01913347271821083,0.3793103448275862,0.6590344827586206,0.896551724137931,0.08070332922745362
DDE,0.9069767441860465,0.9523139534883722,0.9883720930232558,0.014711940199172007,0.5517241379310345,0.7803793103448274,0.9655172413793104,0.0707429487921234
PAAC,0.8488372093023255,0.9120813953488373,0.9767441860465116,0.018936998819332387,0.3793103448275862,0.6563103448275863,0.896551724137931,0.08282978980100096
CTDT,0.872093023255814,0.9279883720930233,0.9883720930232558,0.01782429947301223,0.41379310344827586,0.6661724137931034,0.8620689655172413,0.078369524701267
