,train_min,train_mean,train_max,train_std,test_min,test_mean,test_max,test_std
rpm_pssm,0.9418604651162791,0.9741744186046513,1.0,0.011698385248179266,0.4827586206896552,0.733448275862069,0.9310344827586207,0.07533594992281499
pssm_ac,0.8604651162790697,0.9268953488372095,0.9883720930232558,0.020815678114855827,0.3793103448275862,0.6293103448275862,0.9310344827586207,0.08089496426698903
tri_gram_pssm,0.8488372093023255,0.9104069767441861,0.9651162790697675,0.01919124312992315,0.3103448275862069,0.5888965517241379,0.8275862068965517,0.08038193608042823
aac_pssm,0.7906976744186046,0.8565232558139535,0.9186046511627907,0.02221532549520175,0.3103448275862069,0.6425172413793103,0.9310344827586207,0.08343339137701782
dpc_pssm,0.8372093023255814,0.9007906976744188,0.9767441860465116,0.02240591168224585,0.3793103448275862,0.6297241379310347,0.896551724137931,0.08095268064839924
dp_pssm,1.0,1.0,1.0,0.0,0.3448275862068966,0.6208965517241379,0.8620689655172413,0.07951969371461456
aatp,0.7325581395348837,0.8355465116279069,0.9651162790697675,0.05438151066310204,0.41379310344827586,0.6371379310344828,0.8620689655172413,0.08225038626309339
ab_pssm,0.8255813953488372,0.8935813953488372,0.9651162790697675,0.02405851888603544,0.3448275862068966,0.5901034482758621,0.8275862068965517,0.07852861365706966
smoothed_pssm,0.7790697674418605,0.8489651162790698,0.9186046511627907,0.02161314512478377,0.27586206896551724,0.5339310344827586,0.7931034482758621,0.07535681274516977
tpc,0.5581395348837209,0.7372325581395349,1.0,0.1547789278144894,0.3103448275862069,0.5955862068965517,0.8275862068965517,0.08497055515740398
eedp,0.8023255813953488,0.8713372093023256,0.9302325581395349,0.02090688297053239,0.3793103448275862,0.5946896551724137,0.8620689655172413,0.0791864399446384
rpssm,0.7674418604651163,0.8419302325581396,0.9186046511627907,0.024064891091259488,0.3793103448275862,0.6075862068965517,0.8620689655172413,0.08242461334250296
aadp_pssm,0.8372093023255814,0.900732558139535,0.9767441860465116,0.02253124445618097,0.3793103448275862,0.6299655172413794,0.896551724137931,0.08065309369142404
pssm_cc,0.8372093023255814,0.8998139534883722,0.9651162790697675,0.022143589622835136,0.3793103448275862,0.634551724137931,0.896551724137931,0.08167680864330203
medp,0.8023255813953488,0.8692325581395349,0.9302325581395349,0.021121490495122092,0.3793103448275862,0.5948620689655172,0.8620689655172413,0.07928034665061459
pse_pssm,0.9883720930232558,0.9997093023255813,1.0,0.001815406394883259,0.3103448275862069,0.5856551724137931,0.896551724137931,0.08024741764100538
k_separated_bigrams_pssm,0.8372093023255814,0.9096627906976745,0.9651162790697675,0.019950042392306844,0.3448275862068966,0.6073103448275863,0.7931034482758621,0.07669957762651378
pssm_composition,0.9186046511627907,0.9632093023255816,1.0,0.013375146264167914,0.4827586206896552,0.727103448275862,0.9310344827586207,0.07559989178911279
s_fpssm,0.9418604651162791,0.9761627906976745,1.0,0.010344916947575942,0.4482758620689655,0.7259655172413793,0.9310344827586207,0.073733387052479
edp,0.6511627906976745,0.7241395348837208,0.8023255813953488,0.02713023694377185,0.3793103448275862,0.6066896551724138,0.8620689655172413,0.078762455368933
d_fpssm,0.8488372093023255,0.9036511627906978,0.9534883720930233,0.018836505872596745,0.3103448275862069,0.5936551724137932,0.8275862068965517,0.08164002655432398
