,train_min,train_mean,train_max,train_std,test_min,test_mean,test_max,test_std
aadp_pssm,0.8488372093023255,0.8825581395348838,0.9069767441860465,0.01759621622142043,0.4827586206896552,0.596551724137931,0.6896551724137931,0.06178094092127213
dp_pssm,1.0,1.0,1.0,0.0,0.5517241379310345,0.6482758620689656,0.7586206896551724,0.07363502242780215
aatp,0.8023255813953488,0.836046511627907,0.9069767441860465,0.0383720930232558,0.5172413793103449,0.6206896551724138,0.7241379310344828,0.055601777574472766
rpm_pssm,0.9302325581395349,0.9523255813953488,0.9767441860465116,0.012139891289430872,0.6206896551724138,0.7241379310344828,0.8620689655172413,0.06542643434831129
s_fpssm,0.9418604651162791,0.9523255813953491,0.9651162790697675,0.009658864956881499,0.6551724137931034,0.7137931034482758,0.8275862068965517,0.05570860145311556
medp,0.8255813953488372,0.8581395348837209,0.8953488372093024,0.017863129646206077,0.5172413793103449,0.5896551724137932,0.6896551724137931,0.052181882587660544
ab_pssm,0.8255813953488372,0.8604651162790697,0.8837209302325582,0.018013876028871702,0.5517241379310345,0.6103448275862069,0.7241379310344828,0.05353163688365526
eedp,0.8255813953488372,0.8616279069767442,0.8953488372093024,0.01834852771867385,0.5517241379310345,0.5931034482758621,0.6896551724137931,0.048275862068965524
pse_pssm,1.0,1.0,1.0,0.0,0.5172413793103449,0.6000000000000001,0.6896551724137931,0.05811137774604385
aac_pssm,0.8372093023255814,0.8593023255813954,0.8837209302325582,0.01681027011023366,0.5172413793103449,0.6379310344827587,0.7241379310344828,0.06022154895369993
pssm_ac,0.8837209302325582,0.9046511627906977,0.9418604651162791,0.016279069767441843,0.5172413793103449,0.6344827586206897,0.7586206896551724,0.07586206896551723
d_fpssm,0.8837209302325582,0.9058139534883722,0.9186046511627907,0.010969745502391376,0.4827586206896552,0.5862068965517241,0.7586206896551724,0.08160110045654642
k_separated_bigrams_pssm,0.872093023255814,0.8988372093023257,0.9302325581395349,0.01805136592588373,0.4827586206896552,0.5862068965517242,0.6896551724137931,0.06542643434831129
pssm_cc,0.8488372093023255,0.8813953488372093,0.9069767441860465,0.017089463321743117,0.5517241379310345,0.6275862068965518,0.6896551724137931,0.057287061123572965
edp,0.6976744186046512,0.7372093023255815,0.7790697674418605,0.025581395348837226,0.4482758620689655,0.6068965517241379,0.7586206896551724,0.07586206896551724
tpc,0.6046511627906976,0.7127906976744186,1.0,0.14662693874973098,0.41379310344827586,0.6206896551724138,0.7931034482758621,0.09123280382981348
smoothed_pssm,0.7674418604651163,0.808139534883721,0.8604651162790697,0.025074254247497464,0.41379310344827586,0.5482758620689656,0.7241379310344828,0.0968591165875044
pssm_composition,0.9418604651162791,0.9500000000000002,0.9651162790697675,0.009081685669658916,0.6206896551724138,0.7275862068965517,0.8620689655172413,0.0793103448275862
dpc_pssm,0.8488372093023255,0.8837209302325582,0.9069767441860465,0.018013876028871723,0.4827586206896552,0.593103448275862,0.6896551724137931,0.06129789253321096
tri_gram_pssm,0.8488372093023255,0.8872093023255815,0.9186046511627907,0.02328486557500091,0.5172413793103449,0.6000000000000001,0.6896551724137931,0.06578891044254798
rpssm,0.813953488372093,0.836046511627907,0.8837209302325582,0.022336479898021563,0.5172413793103449,0.5896551724137933,0.6896551724137931,0.07625291168102062
