feat_name,regC,kernel,pca_comp
CTDC,30,rbf,19
CTDD,20,rbf,40
SOCNumber,30,rbf,30
APAAC,30,rbf,40
CTriad,20,rbf,40
TPC,20,rbf,55
CKSAAGP,20,rbf,40
QSOrder,30,rbf,40
KSCTriad,20,rbf,40
CKSAAP,20,rbf,55
NMBroto,20,rbf,55
GDPC,30,rbf,18
GAAC,1,rbf,2
Geary,20,rbf,55
Moran,20,rbf,55
GTPC,20,rbf,40
DPC,20,rbf,55
AAC,20,rbf,15
DDE,20,rbf,55
PAAC,30,rbf,25
CTDT,20,rbf,29
rpm_pssm,20,rbf,40
pssm_ac,20,rbf,40
tri_gram_pssm,20,linear,40
aac_pssm,20,rbf,15
dpc_pssm,30,rbf,40
dp_pssm,1,rbf,40
aatp,30,rbf,40
ab_pssm,1,rbf,40
smoothed_pssm,1,rbf,40
tpc,30,rbf,40
eedp,1,rbf,40
rpssm,1,rbf,40
aadp_pssm,30,rbf,40
pssm_cc,20,rbf,55
medp,1,rbf,40
pse_pssm,20,rbf,20
k_separated_bigrams_pssm,20,rbf,40
pssm_composition,20,rbf,40
s_fpssm,20,rbf,40
edp,20,rbf,10
d_fpssm,20,rbf,10
gappyKernel,20,linear,55
mismatchKernel,20,rbf,55
spectrumKernel,20,linear,55
