,precision,recall,f1_score,accuracy
CTDC,0.814322,0.8500639999999999,0.740285,0.740285
CTDD,0.8219619999999999,0.8461549999999999,0.743883,0.743883
SOCNumber,0.816276,0.805377,0.726858,0.726858
APAAC,0.840357,0.86149,0.716016,0.716016
CTriad,0.888547,0.8939619999999999,0.793264,0.793264
TPC,0.8927130000000001,0.89274,0.791088,0.791088
CKSAAGP,0.839046,0.8516520000000001,0.7706599999999999,0.7706599999999999
QSOrder,0.842951,0.860434,0.7336719999999999,0.7336719999999999
KSCTriad,0.888547,0.8939619999999999,0.793264,0.793264
CKSAAP,0.8892369999999999,0.8735650000000001,0.786858,0.786858
NMBroto,0.893251,0.870361,0.7847359999999999,0.7847359999999999
GDPC,0.7618590000000001,0.769258,0.6881729999999999,0.6881729999999999
GAAC,0.578263,0.9249639999999999,0.612608,0.612608
Geary,0.8982110000000001,0.8603770000000001,0.7814409999999999,0.7814409999999999
Moran,0.8988520000000001,0.875292,0.7844559999999999,0.7844559999999999
GTPC,0.8643930000000001,0.8588119999999999,0.78142,0.78142
DPC,0.88981,0.8804290000000001,0.78186,0.78186
AAC,0.818654,0.8499680000000001,0.700305,0.700305
DDE,0.895216,0.907472,0.806711,0.806711
PAAC,0.8403370000000001,0.861499,0.716015,0.716015
CTDT,0.8230619999999998,0.8241860000000001,0.715971,0.715971
rpm_pssm,0.8605010000000001,0.862367,0.7617860000000001,0.7617860000000001
pssm_ac,0.745401,0.8389129999999999,0.660273,0.660273
tri_gram_pssm,0.5793929999999999,0.8961309999999999,0.606806,0.606806
aac_pssm,0.690311,0.750025,0.624561,0.624561
dpc_pssm,0.6635519999999999,0.7522709999999999,0.6000049999999999,0.6000049999999999
dp_pssm,0.599339,0.9320630000000001,0.6419279999999998,0.6419279999999998
aatp,0.7105,0.808836,0.660067,0.660067
ab_pssm,0.6298140000000001,0.8497049999999999,0.641532,0.641532
smoothed_pssm,0.6170220000000001,0.9267209999999999,0.66406,0.66406
tpc,0.6653530000000001,0.803946,0.6227560000000001,0.6227560000000001
eedp,0.6343040000000001,0.902186,0.645777,0.645777
rpssm,0.662191,0.8483140000000001,0.66319,0.66319
aadp_pssm,0.663343,0.7529629999999999,0.600606,0.600606
pssm_cc,0.716974,0.8476899999999999,0.660935,0.660935
medp,0.6338900000000001,0.902291,0.6455210000000001,0.6455210000000001
pse_pssm,0.682497,0.7315969999999999,0.617386,0.617386
k_separated_bigrams_pssm,0.6664729999999999,0.758516,0.634946,0.634946
pssm_composition,0.8336809999999999,0.8656020000000001,0.7524339999999999,0.7524339999999999
s_fpssm,0.8533,0.8665579999999999,0.763162,0.763162
edp,0.678141,0.772229,0.6248130000000001,0.6248130000000001
d_fpssm,0.7050549999999999,0.753676,0.638546,0.638546
gappyKernel,0.8807810000000001,0.857368,0.7871540000000001,0.7871540000000001
mismatchKernel,0.8894559999999999,0.880581,0.7839099999999999,0.7839099999999999
spectrumKernel,0.88095,0.8563009999999999,0.7861380000000001,0.7861380000000001
k-mer,0.6591520000000001,0.921048,0.6879129999999999,0.6879129999999999
gaa-kmer,0.703506,0.9006559999999999,0.710347,0.710347
ensemble,0.8988729999999999,0.916701,0.8296380000000001,0.8296380000000001
