,train_min,train_mean,train_max,train_std,test_min,test_mean,test_max,test_std
CTDC,0.872093023255814,0.9360209302325584,0.9883720930232558,0.014831827959012113,0.41379310344827586,0.7400000000000001,1.0,0.07958572879794243
CTDD,0.9069767441860465,0.9511186046511629,1.0,0.01331923608006951,0.41379310344827586,0.7412827586206897,1.0,0.07777671752103714
SOCNumber,0.8604651162790697,0.9302639534883721,0.9883720930232558,0.017131710332548084,0.41379310344827586,0.7536862068965517,1.0,0.07770200087100658
APAAC,0.8953488372093024,0.9437255813953489,1.0,0.015135371842159453,0.3793103448275862,0.7074758620689656,0.9655172413793104,0.0813187805281621
CTriad,0.9069767441860465,0.9411779069767444,1.0,0.013413254697067967,0.4482758620689655,0.7890793103448277,1.0,0.07213972034109777
TPC,0.9302325581395349,0.9668511627906977,1.0,0.012154024142908953,0.4482758620689655,0.7819137931034482,1.0,0.07292104561903649
CKSAAGP,0.9302325581395349,0.9659639534883722,1.0,0.012435803731172241,0.4482758620689655,0.7598310344827586,1.0,0.07321289781629148
QSOrder,0.9069767441860465,0.9463616279069769,1.0,0.014988970119954741,0.3793103448275862,0.7326586206896551,1.0,0.07971293315546307
KSCTriad,0.9069767441860465,0.9411779069767444,1.0,0.013413254697067967,0.4482758620689655,0.7890793103448277,1.0,0.07213972034109777
CKSAAP,0.9069767441860465,0.9629244186046513,1.0,0.012767249913836484,0.4482758620689655,0.7774379310344828,1.0,0.07264095330805462
NMBroto,0.9069767441860465,0.9493779069767444,1.0,0.015721075365712364,0.4482758620689655,0.7766172413793103,1.0,0.07102879446591928
GDPC,0.9069767441860465,0.959725581395349,1.0,0.012740254868130439,0.3448275862068966,0.6985689655172415,0.9655172413793104,0.08282093738567042
GAAC,0.6976744186046512,0.8115906976744186,0.9302325581395349,0.029733151034097297,0.27586206896551724,0.5859068965517241,0.896551724137931,0.08259196085347459
Geary,0.9069767441860465,0.9498616279069769,1.0,0.015307460040210446,0.4827586206896552,0.7840068965517242,1.0,0.07165953290638638
Moran,0.9069767441860465,0.9511825581395351,1.0,0.014999446131833115,0.4827586206896552,0.7756103448275863,1.0,0.0704727261062843
GTPC,0.9302325581395349,0.9663046511627909,1.0,0.012371323415475683,0.4827586206896552,0.7673896551724139,1.0,0.07486675845792724
DPC,0.9186046511627907,0.9633104651162792,1.0,0.012862283346382898,0.4827586206896552,0.7765379310344828,1.0,0.07235642916738591
AAC,0.8837209302325582,0.9408093023255817,1.0,0.016078615677303575,0.3103448275862069,0.7016379310344828,0.9655172413793104,0.08203957565614699
DDE,0.9186046511627907,0.9606232558139536,1.0,0.01252631108678616,0.5172413793103449,0.8037620689655172,1.0,0.07030557720048573
PAAC,0.8837209302325582,0.9388325581395351,1.0,0.016399850280945445,0.3793103448275862,0.7119206896551724,0.9655172413793104,0.07995964729909084
CTDT,0.8953488372093024,0.9463406976744188,1.0,0.01547011595175822,0.3793103448275862,0.7083379310344828,0.9310344827586207,0.07985013281059214
