,train_min,train_mean,train_max,train_std,test_min,test_mean,test_max,test_std
rpm_pssm,0.9418604651162791,0.9808813953488372,1.0,0.010937691418397599,0.41379310344827586,0.7566275862068965,0.9655172413793104,0.07404933888816347
pssm_ac,0.9186046511627907,0.9710651162790699,1.0,0.012466642565356241,0.3103448275862069,0.655596551724138,0.9310344827586207,0.08071874446181061
tri_gram_pssm,0.8488372093023255,0.9056418604651164,0.9767441860465116,0.01814930029328262,0.3448275862068966,0.6420586206896552,0.9310344827586207,0.07852286647122927
aac_pssm,0.8023255813953488,0.8772523255813954,0.9651162790697675,0.02332730380967042,0.3793103448275862,0.674748275862069,0.9655172413793104,0.07929547619246494
dpc_pssm,0.8604651162790697,0.9180651162790698,0.9767441860465116,0.017360457483759754,0.3103448275862069,0.6506310344827586,0.9310344827586207,0.08127078612739369
dp_pssm,1.0,1.0,1.0,0.0,0.3448275862068966,0.6303103448275862,0.9310344827586207,0.0824098902553001
aatp,0.7558139534883721,0.8701255813953489,1.0,0.04786091056813518,0.3793103448275862,0.6951551724137932,0.9655172413793104,0.07821020906139348
ab_pssm,0.8488372093023255,0.912168604651163,0.9883720930232558,0.018122896923921657,0.3448275862068966,0.6535827586206897,0.9310344827586207,0.07905787995435704
smoothed_pssm,0.7906976744186046,0.8649662790697675,0.9651162790697675,0.025264029216561498,0.3448275862068966,0.6011034482758622,0.896551724137931,0.07553830598987021
tpc,0.5348837209302325,0.735767441860465,1.0,0.1575869380700617,0.27586206896551724,0.6018103448275862,0.9310344827586207,0.08183786463484057
eedp,0.8488372093023255,0.9239744186046513,1.0,0.020817983109993703,0.3103448275862069,0.6400551724137931,0.9310344827586207,0.08021675036573721
rpssm,0.7906976744186046,0.8806046511627909,0.9534883720930233,0.02382097007822772,0.27586206896551724,0.6043137931034482,0.8620689655172413,0.0781228185616967
aadp_pssm,0.8604651162790697,0.9180523255813954,0.9767441860465116,0.01735810802702841,0.3103448275862069,0.6509655172413793,0.9310344827586207,0.08123684197855816
pssm_cc,0.8837209302325582,0.947975581395349,1.0,0.015802531742242314,0.3103448275862069,0.6599620689655172,0.9310344827586207,0.07952748976934379
medp,0.8488372093023255,0.9223500000000002,1.0,0.021068508323946775,0.3103448275862069,0.6392965517241379,0.896551724137931,0.08024955013746282
pse_pssm,0.9767441860465116,0.996731395348837,1.0,0.005247817414404496,0.27586206896551724,0.6101068965517241,0.896551724137931,0.08249031500100795
k_separated_bigrams_pssm,0.8488372093023255,0.9104976744186047,0.9767441860465116,0.017228588187848046,0.3448275862068966,0.649148275862069,0.9310344827586207,0.07818223102798791
pssm_composition,0.9302325581395349,0.9699558139534884,1.0,0.012962782979111673,0.3793103448275862,0.7428620689655173,1.0,0.07354090807518755
s_fpssm,0.9534883720930233,0.9877697674418603,1.0,0.010066818140520396,0.41379310344827586,0.752996551724138,1.0,0.07325373613210948
edp,0.6976744186046512,0.7840232558139535,0.8953488372093024,0.02703163021183036,0.3448275862068966,0.6292689655172414,0.896551724137931,0.0765773377466302
d_fpssm,0.9069767441860465,0.9673732558139534,1.0,0.014313312049935587,0.3103448275862069,0.5998620689655172,0.8620689655172413,0.08647258368346683
