aac_pssm0,aac_pssm1,aac_pssm2,aac_pssm3,aac_pssm4,aac_pssm5,aac_pssm6,aac_pssm7,aac_pssm8,aac_pssm9,aac_pssm10,aac_pssm11,aac_pssm12,aac_pssm13,aac_pssm14,aac_pssm15,aac_pssm16,aac_pssm17,aac_pssm18,aac_pssm19
-1.103550295857988,-0.9467455621301774,-1.1715976331360944,-1.482248520710059,-1.6449704142011832,-1.1390532544378695,-1.059171597633136,-1.9437869822485208,-0.8254437869822484,-1.0177514792899407,-1.3136094674556211,-1.0828402366863903,-0.6804733727810651,-1.420118343195266,-2.195266272189349,-0.9497041420118342,-0.8491124260355029,-2.0118343195266273,-1.2988165680473371,-1.133136094674556
-1.083076923076923,-0.9815384615384616,-1.0553846153846151,-1.4153846153846155,-1.5907692307692307,-1.073846153846154,-0.9938461538461536,-2.0584615384615383,-0.7938461538461536,-1.0646153846153843,-1.2676923076923075,-1.1569230769230767,-0.5907692307692308,-1.3261538461538462,-2.024615384615385,-0.92,-0.7507692307692307,-1.9446153846153853,-1.2,-1.0923076923076922
-1.359872611464968,-1.3471337579617833,-1.3662420382165603,-1.8089171974522291,-2.0445859872611467,-1.468152866242038,-1.3343949044585985,-2.337579617834395,-1.0509554140127388,-1.3949044585987262,-1.6210191082802548,-1.4490445859872612,-1.10828025477707,-1.700636942675159,-2.786624203821656,-1.2197452229299364,-1.0445859872611467,-2.6974522292993632,-1.5063694267515924,-1.43312101910828
-1.0984615384615384,-0.9753846153846152,-1.0707692307692307,-1.4892307692307691,-1.5723076923076926,-1.1415384615384616,-1.0492307692307692,-2.0523076923076924,-0.8276923076923077,-1.0246153846153847,-1.3015384615384615,-1.1015384615384616,-0.556923076923077,-1.3476923076923073,-2.0984615384615384,-0.96,-0.7876923076923077,-1.9692307692307691,-1.2338461538461538,-1.1538461538461537
-1.1507692307692308,-0.9169230769230768,-1.0492307692307692,-1.4430769230769231,-1.4707692307692308,-1.0307692307692307,-0.9784615384615386,-2.08,-0.7507692307692307,-1.0276923076923075,-1.2646153846153847,-1.0676923076923075,-0.4830769230769232,-1.2338461538461538,-2.1169230769230767,-0.9138461538461538,-0.7476923076923075,-1.886153846153846,-1.206153846153846,-1.126153846153846
-1.1846153846153846,-1.0123076923076926,-1.0707692307692307,-1.4769230769230772,-1.4892307692307691,-1.1538461538461537,-1.0307692307692307,-2.1138461538461537,-0.843076923076923,-1.0892307692307692,-1.313846153846154,-1.126153846153846,-0.5507692307692307,-1.313846153846154,-2.181538461538461,-0.9876923076923074,-0.796923076923077,-1.926153846153846,-1.2492307692307691,-1.166153846153846
-1.1323076923076922,-0.9753846153846152,-1.0523076923076926,-1.4338461538461538,-1.544615384615385,-1.1076923076923073,-1.0030769230769228,-2.0584615384615383,-0.8399999999999999,-1.0953846153846154,-1.3046153846153845,-1.12,-0.56,-1.366153846153846,-2.104615384615385,-0.9507692307692306,-0.7784615384615384,-1.9292307692307693,-1.2400000000000002,-1.166153846153846
-1.423333333333333,-1.313333333333333,-1.5033333333333336,-1.8366666666666664,-1.97,-1.473333333333333,-1.3166666666666664,-2.5333333333333328,-0.96,-1.303333333333333,-1.53,-1.5133333333333336,-0.8933333333333332,-1.593333333333333,-2.613333333333333,-1.196666666666667,-1.08,-2.63,-1.46,-1.37
-1.113846153846154,-0.9692307692307695,-1.04,-1.4430769230769231,-1.4984615384615385,-1.0861538461538462,-1.0461538461538462,-1.9723076923076923,-0.7692307692307693,-0.9846153846153848,-1.313846153846154,-1.1107692307692307,-0.5938461538461537,-1.3076923076923075,-2.163076923076923,-0.9507692307692306,-0.7876923076923077,-2.0584615384615383,-1.1292307692307693,-1.1692307692307693
-1.1272727272727272,-0.896969696969697,-1.0030303030303027,-1.3606060606060606,-1.5121212121212122,-1.0212121212121215,-0.9848484848484848,-1.933333333333333,-0.703030303030303,-1.0121212121212122,-1.306060606060606,-1.0272727272727271,-0.5575757575757576,-1.284848484848485,-2.0333333333333328,-0.8424242424242424,-0.7727272727272727,-1.9242424242424243,-1.1636363636363636,-1.087878787878788
